sample,accuracy,kernel,nu,epsilon
2,0.44699999690055847,linear,0.7000000000000001,0.2
7,0.5723333358764648,sigmoid,0.30000000000000004,0.9
7,0.5803333520889282,rbf,0.7000000000000001,0.6
3,0.5793333053588867,rbf,0.30000000000000004,0.1
4,0.5453333258628845,poly,0.5,0.1
10,0.5360000133514404,rbf,0.1,0.9
2,0.5726666450500488,rbf,0.1,0.4
3,0.5103333592414856,rbf,0.8,0.7000000000000001
5,0.5086666941642761,rbf,0.8,0.6
3,0.5149999856948853,sigmoid,0.6,1.0
